Audience Code,Audience Name,Audience Active,Audience Description
Learning Plan_Mold Engineer II (IE),Mold Engineer II (IE),1,Requirements for Mold Engineer II in IE Mold Maintenance 5043
Learning Plan_Mold Engineer III (IE),Mold Engineer III (IE),1,Requirements for Mold Engineer III in IE Mold Maintenance 5043
Learning Plan_President,President,1,Requirements for President
Learning Plan_Quality Engineer I (IE),Quality Engineer I (IE),1,Requirements for Quality Engineer I in IE Quality Control 6260
Learning Plan_Quality Engineer II (IE),Quality Engineer II (IE),1,Requirements for Quality Engineer II in IE Quality Control 6260
Learning Plan_Quality Engineer III (IE),Quality Engineer III (IE),1,Requirements for Quality Engineer III in IE Quality Control 6260
Learning Plan_Senior Design Engineer,Senior Design Engineer,1,Requirements for Senior Design Engineer
Learning Plan_Senior General Manager (IE),Senior General Manager (IE),1,Requirements for Senior General Manager in IE
Learning Plan_Vice President,Vice President,1,Requirements for Vice President
Legal_Compliance_(Managers),Legal Compliance (Managers),1,All Managers____ All General Managers
Legal_Compliance_(Supervisors),Legal Compliance (Supervisors),1,ALL_SUPERVISORS
Lider_Inspiracional,Lider Inspiracional,1,Curso para promoción de TM a Staff
LIVE_Fire_Extinguisher_Instructor_Certification,LIVE Fire Extinguisher Instructor Certification,1,Instructors for LIVE fire extinguisher training which involves hands-on training
LMS Leadership Courses (Kinto) Ongoing,LMS Leadership Courses (Kinto),1,Ongoing audience for Percipio access for AGG Kinto Leadership Courses. Supervisors and above.
LMS_Introduction_(Online)_Stratford,LMS Introduction (Online) Stratford,1,LMS Introduction Online for Stratford Employees.
LMS_Introduction_for_Coordinators,LMS Introduction for Coordinators,1,This Audience have LMS Introduction for Coordinators Users only.
LMS_Introduction_Online_(AGGMO),LMS Introduction Online (AGGMO),1,LMS Introduction for AGGMO users (non-orientation)
LMS_Leadership_Courses_-_Palmerston_(Kinto),LMS Leadership Courses - Palmerston (Kinto),1,"Audience for Percipio access and course assignment for Kinto leadership development. LeaderTech, Supervisor, Manager, and above. Palmerston only."
