Topic Code,Parent topic code,TopicName
Infrastructure_&_Operations,Percipio,Infrastructure & Operations
Infrastructure_&_Operations,Topics,Infrastructure & Operations
International_Institute_of_Business_Analysis_(IIBA),Certifications,International Institute of Business Analysis (IIBA)
International_Software_Testing_Qualification_Board,Certifications,International Software Testing Qualification Board
Internet_of_Things,Cloud_Services,Internet of Things
Introductory_Topics,Topics,Introductory Topics
Isograd,Certifications,Isograd
IT_Ops,Aspire_Journeys_for_Technology_&_Developer,IT Ops
IT_Ops,Skillsoft_Bootcamps,IT Ops
IT_Security_Specialist_to_SecOps_Engineer,Aspire_Journeys,IT Security Specialist to SecOps Engineer
IT_Services,Infrastructure_&_Operations,IT Services
IT_Trends,Infrastructure_&_Operations,IT Trends
ITIL®,Certifications,ITIL®
Japanese,Safety,Japanese
JDE,Topics,JDE
joinme_01,CollabTools,Joinme
Just_In_Time,Topics,Just In Time
Kaizen,SCP_Resources,Kaizen
Kaizen,Topics,Kaizen
Kaizen_Leadership,Topics,Kaizen Leadership
Kanban,Topics,Kanban
Kubernetes,Certifications,Kubernetes
Kubernetes_Administrator,Kubernetes,Kubernetes Administrator
Label_Templates,SCP_Resources,Label Templates
Leadership,BusinessSkills1,Leadership
Leadership_&_Business,Lifelong_Learn,Leadership & Business
Leadership_&_Teamwork,Topics,Leadership & Teamwork
Leadership_Development_Program_powered_by_MIT_SMR,Percipio,Leadership Development Program powered by MIT SMR
Leadership_Development_Program_powered_by_MIT_SMR,Topics,Leadership Development Program powered by MIT SMR
Leadership_Essentials,Management,Leadership Essentials
Leadership_Essentials_,Aspire_Journeys_for_Leadership,Leadership Essentials
Leadership_Mindsets,Aspire_Journeys_for_Leadership,Leadership Mindsets
Leadership_Transitions,Aspire_Journeys_for_Leadership,Leadership Transitions
"Leading_Diversity,_Equity_&_Inclusion","Diversity,_Equity,_&_Inclusion","Leading Diversity, Equity & Inclusion"
Leading_HR,Skillsoft_Leadercamps,Leading HR
Leading_in_the_New_Normal,Skillsoft_Leadercamps,Leading in the New Normal
Leading_the_Business,Leadership_Development_Program_powered_by_MIT_SMR,Leading the Business
Leading_Your_Team,Leadership_Development_Program_powered_by_MIT_SMR,Leading Your Team
Leading_Yourself,Leadership_Development_Program_powered_by_MIT_SMR,Leading Yourself
LeadingTeams,Leadership,Leading Teams
LegalCompliance1,Compliance,Legal Compliance
legalcomplianceadd,LegalCompliance1,Additional Content
legalcomplianceadddj,legalcomplianceadd,Diversity on the Job
legalcomplianceaddub,legalcomplianceadd,Unconscious Bias
legalcompliancedei,legalcomplianceadd,"Diversity, Equity, and Inclusion"
LegalImpacts,LegalCompliance1,Legal Impacts (US Edition)
LegalImpactsBraPor,LegalCompliance1,Legal Impacts (Brazilian Portuguese Edition)
LegalImpactsChin,LegalCompliance1,Legal Impacts (Chinese Edition)
LegalImpactsFren,LegalCompliance1,Legal Impacts (French Edition)
LegalImpactsGer,LegalCompliance1,Legal Impacts (German Edition)
LegalImpactsLAS,LegalCompliance1,Legal Impacts (Latin American Spanish Edition)
LegalImpactsUK,LegalCompliance1,Legal Impacts (UK English Edition)
Level_3_-_CBAP,International_Institute_of_Business_Analysis_(IIBA),Level 3 - CBAP
Lifelong_Learn,Percipio,Lifelong Learn
Lifelong_Learn,Topics,Lifelong Learn
Live_Events,Skillsoft_Live_Events,Live Events
LMS_Instructions,Topics,LMS Instructions
LogMeIn,CollabTools,LogMeIn
Machine_Learning,Technology,Machine Learning
Mainframe,Percipio,Mainframe
Mainframe,Topics,Mainframe
Mainframe_Security,Mainframe,Mainframe Security
Mainframe_Services,Mainframe,Mainframe Services
Manage_Myself,_First_Time_Manager_Career_Journey,Manage Myself
Manage_Myself,First_Time_Manager_Career_Journey,Manage Myself
Manage_Others,_First_Time_Manager_Career_Journey,Manage Others
Manage_Others,First_Time_Manager_Career_Journey,Manage Others
Management,Percipio,Management
Management,Topics,Management
Management_Essentials,Management,Management Essentials
Managers,LMS_Instructions,Managers
Materials,Engineering,Materials
Mayo_Clinic_on_Covid_Management,Management,Mayo Clinic on Covid Management
Meetings,Business_Skills,Meetings
Microservices,Programming,Microservices
Microsoft,Certifications,Microsoft
Microsoft_365_Certified_Associate,Microsoft,Microsoft 365 Certified Associate
Microsoft_365_Certified_Expert,Microsoft,Microsoft 365 Certified Expert
Microsoft_365_Certified_Fundamentals,Microsoft,Microsoft 365 Certified Fundamentals
Microsoft_Azure_Certified_Associate,Microsoft,Microsoft Azure Certified Associate
