JOB_CODE,JOB_NAME,created By EmployeeID,JOB_DESC
IMX000404,Líder Junior de Filler Pipe,DefaultAdmin,This Job is for Líder Junior de Filler Pipe Users only
IMX000405,Líder junior de inyección,DefaultAdmin,This Job is for Líder junior de inyección Users only
IMX000406,Líder Junior de Kaizen,DefaultAdmin,This Job is for Líder Junior de Kaizen Users only
IMX000407,Líder Junior de Pintura,DefaultAdmin,This Job is for Líder Junior de Pintura Users only
IMX000408,Líder Junior de Platinado,DefaultAdmin,This Job is for Líder Junior de Platinado Users only
IMX000409,Líder Junior de Registro,DefaultAdmin,This Job is for Líder Junior de Registro Users only
IMX000410,Líder Junior de Tacoma Transfer,DefaultAdmin,This Job is for Líder Junior de Tacoma Transfer Users only
IMX000411,Líder Junior de vacuum forming,DefaultAdmin,This Job is for Líder Junior de vacuum forming Users only
IMX000412,Líder Senior de Máquinas y Herramientas (Tooling),DefaultAdmin,This Job is for Líder Senior de Máquinas y Herramientas (Tooling) Users only
IMX000413,Asesor de Procesos Ensamble,DefaultAdmin,This Job is for Asesor de Procesos Ensamble Users only
IMX000414,Asistente de IMS,DefaultAdmin,This Job is for Asistente de IMS Users only
IMX000415,Gerente de IMS,DefaultAdmin,This Job is for Gerente de IMS Users only
IMX000416,Gerente de Mantenimiento,DefaultAdmin,This Job is for Gerente de Mantenimiento Users only
IMX000417,Gerente General Asistente de TPS Ingenieria y PA,DefaultAdmin,This Job is for Gerente General Asistente de TPS Ingenieria y PA Users only
IMX000418,Ingeniero Senior de Mantenimiento,DefaultAdmin,This Job is for Ingeniero Senior de Mantenimiento Users only
IMX000419,Ingeniero Senior de Procesos Filler pipe,DefaultAdmin,This Job is for Ingeniero Senior de Procesos Filler pipe Users only
IMX000420,Ingeniero Senior de procesos Pintura,DefaultAdmin,This Job is for Ingeniero Senior de procesos Pintura Users only
IMX000421,Ingeniero Senior de TPS,DefaultAdmin,This Job is for Ingeniero Senior de TPS Users only
IMX000422,Líder de Embarques,DefaultAdmin,This Job is for Líder de Embarques Users only
IMX000423,Líder de Tacoma Transfer,DefaultAdmin,This Job is for Líder de Tacoma Transfer Users only
IMX000424,Líder de vacuum forming,DefaultAdmin,This Job is for Líder de vacuum forming Users only
IMX000425,Líder Junior de Recibo,DefaultAdmin,This Job is for Líder Junior de Recibo Users only
IMX000426,Supervisor Senior de Procesos de inyección,DefaultAdmin,This Job is for Supervisor Senior de Procesos de inyección Users only
IMX000427,Supervisor Senior de Producción,DefaultAdmin,This Job is for Supervisor Senior de Producción Users only
IMX000428,Supervisor Senior de Registro y Filler Pipe,DefaultAdmin,This Job is for Supervisor Senior de Registro y Filler Pipe Users only
IMX000429,Supervisor Senior de Vacuum forming y Ensamble,DefaultAdmin,This Job is for Supervisor Senior de Vacuum forming y Ensamble Users only
IMX000430,Especialista Ambiental,DefaultAdmin,This Job is for Especialista Ambiental Users only
IMX000431,Traductor,DefaultAdmin,This Job is for Traductor Users only
IMX000558,Ingeniero de Procesos,DefaultAdmin,This Job is for Ingeniero de Procesos Users only
IMX000560,Asistente de Import/Export,DefaultAdmin,This Job is for Asistente de Import/Export Users only
IMX000561,Ingeniero Senior de Procesos de PA,DefaultAdmin,This Job is for Ingeniero Senior de Procesos de PA Users only
IMX000565,Montador de moldes,DefaultAdmin,This Job is for Montador de moldes Users only
IMX000568,Operador de Recursos Humanos,DefaultAdmin,This Job is for Operador de Recursos Humanos Users only
IMX000569,Técnico de Platinado,DefaultAdmin,This Job is for Técnico de Platinado Users only
IMX000571,Operador de Ensamble Retrabajo,DefaultAdmin,This Job is for Operador de Ensamble Retrabajo Users only
IMX000583,Asistente de Importaciones y Exportaciones,DefaultAdmin,This Job is for Asistente de Importaciones y Exportaciones Users only
IMX000584,Operador de Tecnologías de la Información,DefaultAdmin,This Job is for Operador de Tecnologías de la Información Users only
IMX000586,Supervisor de Control de Producción,DefaultAdmin,This Job is for Supervisor de Control de Producción Users only
IMX000587,Técnico de procesos de Administracion de la producción,DefaultAdmin,This Job is for Técnico de procesos de Administracion de la producción Users only
IMX000709,Especialista de Compras,DefaultAdmin,This Job is for Especialista de Compras Users only
IMX000734,Gerente Asistente de Proyectos,DefaultAdmin,This Job is for Gerente Asistente de Proyectos Users only
IMX000847,Asistente de Recursos Humanos,DefaultAdmin,This Job is for Asistente de Recursos Humanos Users only
IMX000849,Especialista de Certificaciones Logisticas,DefaultAdmin,This Job is for Especialista de Certificaciones Logisticas Users only
IMX000850,Líder Junior de Calidad,DefaultAdmin,This Job is for Líder Junior de Calidad Users only
IMX000851,Asistente de producción,DefaultAdmin,This Job is for Asistente de producción Users only
IMX000852,Gerente Asistente de Ensamble,DefaultAdmin,This Job is for Gerente Asistente de Ensamble Users only
IMX000853,Gerente Asistente de Ingenieria de Equipo,DefaultAdmin,This Job is for Gerente Asistente de Ingenieria de Equipo Users only
IMX000854,Gerente Asistente de Procesos de Inyección,DefaultAdmin,This Job is for Gerente Asistente de Procesos de Inyección Users only
IMX000855,Ingeniero de Mantenimiento de Costura,DefaultAdmin,This Job is for Ingeniero de Mantenimiento de Costura Users only
IMX000856,Ingeniero Senior de Procesos de Inyección,DefaultAdmin,This Job is for Ingeniero Senior de Procesos de Inyección Users only
IMX000857,Líder Senior de Engrapado,DefaultAdmin,This Job is for Líder Senior de Engrapado Users only
IMX000858,Líder Senior de Filler Pipe,DefaultAdmin,This Job is for Líder Senior de Filler Pipe Users only
IMX000859,Líder Senior de Pintura,DefaultAdmin,This Job is for Líder Senior de Pintura Users only
