ActivityCode,ActivityName,ActivityType,Provider,Active,Language,EstimatedDuration,EstimatedCredits,ActivityDescription,Topic,LaunchURL
Percipio_b40c8573-f018-4cf8-a452-0e97c8b94186,PMP ATP - October/November NA Cohort: Live Session 8,Document,Online Content,0,en-us,16200,,Click here to register for the Live session on November 30th at 12 PM - 4:30 PM EDT.,Cybersecurity,https://google.com
Percipio_b5039315-f65a-42c4-be7b-88ea4620f6d0,Mid-Level Manager Journey,Document,Online Content,1,en-us,,,"As an experienced leader, you are ready to take your management skills to the next level. Success at this pivotal moment requires vision, confidence, and influence. This leadership journey expands your ability to think and act strategically. It is never too late to develop leadership skills.",Compliance,https://google.com
Percipio_b689d202-cb4e-463a-bb44-9253e1ba52d9,Sustaining and strengthening inclusion in our new remote environment,Document,Online Content,1,en-us,,,"Thoughtful action now can help teams build new habits, strengthen connections, and encourage the growth of inclusive cultures that will better realize the full potential of all employees. Please note that this course material includes content gathered from external websites which may fall outside your company network. Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Coordinators,https://google.com
Percipio_b7e4f611-1a02-4ec8-adbb-1c2733ff5bff,Parents' Guide to Remote Learning,Document,Online Content,1,en-us,,,"Throughout this guide, you will find links to a variety of websites with additional ideas. We have also created over 20 tip sheets with project ideas and tools for parents using authentic images and in-home settings. Our hope is that by narrowing down your options, it will make it easier to find ideas that are practical for you to use in your home. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Business Intelligence,https://google.com
Percipio_b87bb233-bd43-4a5d-bbeb-e85e9395e95b,Accountant Journey,Document,Online Content,1,en-us,,,"Accounting is an internal function that involves identifying, recording, summarizing, and reporting business transactions and financial events in an organization. If your organizational role is related to accounting or finance, you'll most likely need solid financial acumen and a strong grasp of the accounting basics. Learn more about the skills and competencies required by Accountants. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of the Accountant within organizations.",Virtual Teams,https://google.com
Percipio_ba871887-b04c-4323-a717-9eabeb93ec46,Best Practices of vILT: Live Session 1,Document,Online Content,0,en-us,5400,,"Click here to register for the live session on December 3rd at 11 AM ET. In this session Barbara Waters introduces you to the key elements of virtual instructor-led training, including technology considerations, effective classroom management, and participant engagement.",Customer Service,https://google.com
Percipio_bae09418-d334-43dc-b9fa-4ab1c4715ca0,What is Disciplined Agile?,Document,Online Content,1,en-us,,,Disciplined Agile - a tool kit that harnesses hundreds of Agile practices to guide you to the best way of working for your team or organization.,Cal/OSHA Latin American Spanish,https://google.com
Percipio_bafdcfbb-909c-47c6-80e7-7892e0277b05,Project Management Fundamentals Bootcamp: Live Session 1,Document,Online Content,0,en-us,10800,,Click here to enter the live session on August 23rd at 11 AM EDT.,Cybersecurity,https://google.com
Percipio_bbb7e70c-00d3-452f-95cf-0af597cf96d0,PMP ATP - May/June/July UK and APAC Cohort: Live Session 2,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on June 1st at 9 AM BST.,Cloud,https://google.com
Percipio_be2204a6-b087-4d4b-8806-7923658562df,PMP ATP - January Cohort: Live Session 4,Document,Online Content,0,en-us,28800,,Click here to register for the Live session on January20th at 10 AM Eastern.,Data,https://google.com
Percipio_befb0daa-8525-471b-aaa5-7612c4ea29f7,Virtual Work in the New Normal,Document,Online Content,1,en-us,,,"It's new, it's different, but it's going to be OK! As you learn to work from home, possibly in pajamas and while watching pets wander onto the screen during video meetings - you will find that upgrading your skillset can help you adjust to your new environment. Working from home requires some skills that are not always necessary in an office setting. Develop the skills you need to be a successful remote worker. This journey will help you get ready, set, and go during these unfamiliar times.",Chemical,https://google.com
Percipio_c028efad-fedc-498e-b826-aa2f633c67c0,Why You’re Not Maintaining a Strong Work Ethic When Working from Home,Document,Online Content,1,en-us,,,It happens to most of us. You start working from home thinking this is going to be a breeze and you’ll keep working hard.  Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.,Business Continuity Planning Bootcamps,https://google.com
Percipio_c202f3a1-bca7-4fad-99fb-0d0a305bdb64,Workplace Revolution: Work from Home Etiquette,Document,Online Content,1,en-us,,,Workers could get legal right to work from home. It's time to prepare for work from home etiquette. Please note that this course material includes content gathered from external websites which may fall outside your company network. Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.,Cloud Development,https://google.com
Percipio_c2562124-c5b7-4971-912d-d5dcbcce0533,Leadership Development Core Journey,Document,Online Content,1,en-us,,,"Whether you are an experienced leader, or you're preparing for a future leadership opportunity, this leadership journey is designed to provide you with a solid foundation of core leadership competencies that will help you effectively develop, grow, and lead your teams to successful business outcomes. The leadership journey will help you focus on the critical areas of being a great leader. Leaders need to exhibit self-awareness and empathy. Learn how to identify and regulate emotions to lead others.",Cloud Basics,https://google.com
Percipio_c2941a42-d025-49ce-90e3-042af629fae3,Social Media Strategist Journey,Document,Online Content,1,en-us,,,Social Media Strategists are responsible for the company's digital marketing strategies when it comes to social media and other digital platforms. Their expertise with online branding and social media can help the company increase their reputation and assist with marketing efforts. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of the Social Media Strategist within organizations.,Cloud Services,https://google.com
Percipio_c2cdc9f3-0506-4f7e-8b6d-6ce1366d5de8,Talent Development and Transformation: Transforming Your Leadership,Document,Online Content,0,en-us,5400,,"The Live Session has now ended. The recording will be available soon. In the meantime, we invite you to share your feedback by clicking Watch to launch the feedback survey. Learning and leadership development are life-long journeys that start with the self.  In this session, you will get an opportunity to reflect on your current leadership style, and build behaviors and mindsets required to lead new world challenges and people through change and disruption.  Through this session, you will learn to:  • Adopt a focused and flexible mindset to meet leadership challenges• Respond quickly with adaptive techniques and empower yourself and others• Build self-awareness to effectively demonstrate empathy and emotional intelligence",Data / ML / AI,https://google.com
Percipio_c2feb6ff-bb90-4d1e-9a91-2c36c8b20bbf,PMP ATP - July/August/September UK and APAC Cohort: Live Session 6,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on August 31st at 9 AM BST/6 PM AEST.,Cloud Services Bootcamps,https://google.com
Percipio_c3ad4c23-b3fa-4dac-8fb1-c5615442dad9,PMP ATP - August/September Cohort: Live Session 2,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on August 16th at 1 PM Eastern.,Business Continuity Planning,https://google.com
Percipio_c461961d-0caf-4987-a5c0-cc92a35531ad,CISSP Bootcamp: Live Session 2,Document,Online Content,0,en-us,14400,,Click here to enter the live session on November 30th at 11 AM EST. In this session Michael Shannon will discuss information security.,Cloud Practitioner,https://google.com
Percipio_c477094e-2fdd-494b-92de-d9a94f1e23da,Resources for Supporting Learners with Disabilities,Document,Online Content,1,en-us,,,This page contains a curated list of special education resources and edtech products to support learners with disabilities in a distance learning context. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.,Cybersecurity Career Journey,https://google.com
Percipio_c6ec3925-efa2-4d5f-9673-1cb09aeb45fb,PMP ATP - September/October/November UK and APAC Cohort: Live Session 4,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on October 19th at 9 AM BST/6 PM AEST.,Codecademy,https://google.com
Percipio_c700ff0f-fcca-451b-a22f-93a09e1ea46b,Data Science for Managers Bootcamp: Live Session 4,Document,Online Content,0,en-us,10800,,"Click here to enter the live session on June 25th at 11 AM ET. In this session Sandip Panesar discusses visualizing results, data storytelling, and building a data-driven culture.",Data,https://google.com
Percipio_c8c2019b-23d3-49db-b897-4ac1e5827fbb,Data Visualization Mastery,Document,Online Content,1,en-us,,,"Data Visualizations play a key role in helping companies make data driven decisions. This Skillsoft Aspire journey will help you understand the significance of creating user-centered visuals, best practices to follow along with various types of charts, plots, graphs and diagrams to represent data visually. Along with eye catching visualizations using Excel from various imported data formats, you will also learn to create various types of visualizations using BI tools like QlikView. You will then explore creating interactive dashboards and infographics for your visualization projects. You will also explore various techniques for creating visualizations using various Python libraries like Matplotlib, Plotly, and Bokeh before modeling the data.",Business Communication,https://google.com
Percipio_c904e18d-4d42-414c-a91b-141ffe6e0143,Data Visualization and Storytelling Bootcamp: Live Session 3,Document,Online Content,0,en-us,10800,,Click here to register for session 3 of 4 being presented October 21st at 11 AM ET. Note you only need to register for the Bootcamp once.,Codecademy Languages,https://google.com
Percipio_c9497f1e-b1c3-42b5-9cc1-001e8130f2bb,PMP ATP - July/August/September UK and APAC Cohort: Live Session 7,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on September 7th at 9 AM BST/6 PM AEST.,Corporate Communications,https://google.com
Percipio_c97575a4-e4dc-4f52-9d4a-bc0c5833bd11,Technical Writer Journey,Document,Online Content,1,en-us,,,"Communicating technical information can be a challenging task. Whether you're a technical guru or someone less experienced, and whether your audience is made up of experts or novices, you need proven strategies to succeed. For many professionals, technical writing skills are an important part of day-to-day communication. In some industries, writing well isn't just a matter of writing grammatically correct sentences; it also involves producing technical documents that are suited to the requirements, comprehension level, and background of their readers. You can learn how to tailor your written communication to the specific requirements of different types of technical material - so that whether you want to persuade or to instruct, you'll be able to achieve your writing goals. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of the Technical Writer within organizations.",Business Strategy,https://google.com
Percipio_ca4fc9bf-d217-4f4b-a436-93970cd94bf5,Product Management Journey,Document,Online Content,1,en-us,,,"The product manager is responsible for overseeing a product through its entire lifecycle-from ideation to development to market introduction to retirement. In this Journey, you will find many of the skills that Product Managers require - and how they can be used to help keep the product on track. Project Managers need both hard and soft skills, including analytical skills, technical expertise and communication skills.",Cloud Platforms,https://google.com
Percipio_cb42bf22-e9e4-419b-bcc4-360849a83a1d,Content Marketing Manager Journey,Document,Online Content,1,en-us,,,"Successful marketing is about optimizing relationships with your customers. That not only includes the value you offer them, but the value you get from them in return. Businesses apply best practices in marketing to find and better understand their customers, to inform how they can most effectively advertise, and to stand out from their competition. Content Marketing Managers can help organizations be successful in their goals by helping create and manage content to engage their customers. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of the Content Marketing Manager within organizations.",Cloud Computing & Server Technology,https://google.com
Percipio_cb5c1c4f-8a25-4829-bb34-202d93392c5f,PMP ATP - October Cohort: Live Session 1,Document,Online Content,0,en-us,28800,,Click here to enter the Live session on October 25th at 10 AM Eastern.,Codecademy,https://google.com
Percipio_cc399660-dab2-4c67-b1d2-8ccea239e484,Scrum Guide (2020 Update): An Overview,Document,Online Content,0,en-us,10800,,"Click here to register for the special Live session on April 30th at 11 AM ET. Return here on April 30th to enter the session at the scheduled time. In this session Barbara Waters will cover updates and changes to the November 2020 Scrum guide update, Scrum teams and events, and Scrum artifacts and team commitments.",Business Planning & Analysis,https://google.com
