ActivityCode,ActivityName,ActivityType,Provider,Active,Language,EstimatedDuration,EstimatedCredits,ActivityDescription,Topic,LaunchURL
Percipio_63b130ce-98d4-48da-84f9-c6d8088b60be,Residential Community Manager Journey,Document,Online Content,1,en-us,,,"The residential community manager is responsible for managing apartment buildings - including physical maintenance, profits, and lease applications. They may use negotiation skills for closing sales, and customer service skills while troubleshooting issues that arise with buildings and residents. Learn more about the skills and competencies required by the Residential Community Manager. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of the Residential Community Manager.",Cloud,https://google.com
Percipio_650ef555-3ca2-44b1-9e44-ef7ff2813825,PMBOK Guide Seventh Edition Live Session,Document,Online Content,0,en-us,7200,,"Click here to enter the Live session on October 22nd at 11 AM Eastern. In this session Barb Waters will discuss why there is a new edition of the PMBOK Guide, what has changed since the last edition, how the Project Management Standard relates to the PMBOK Guide, whether the PMBOK Guide is an exam preparation tooland will it help me pass the PMP exam, and will the PMP exam change now that the new PMBOK Guide is available?",Data,https://google.com
Percipio_66eef40c-26eb-469a-9f03-c1d67995afff,Mitigating Legal Risks of Working from Home,Document,Online Content,1,en-us,,,"As many companies continue to operate remotely, it is important for employers to remain mindful of potential liability that can result from employees working from home. Please note that this course material includes content gathered from external websites which may fall outside your company network. Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Chemical,https://google.com
Percipio_69967fa7-5ca6-4f49-9ad8-61c66cf47a59,Be Internet Awesome Family Guide,Document,Online Content,1,en-us,,,Be Internet Awesome is a multifaceted program that includes a fun and free web-based game called Interland and an educational curriculum to teach kids how to be safe and responsible explorers of the online world. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.,Business Continuity Planning Bootcamps,https://google.com
Percipio_6a5600ba-cfa5-4a40-b704-da28f7ce2874,AWS Cloud Practitioner Bootcamp: Live Session 2,Document,Online Content,0,en-us,14400,,"Click here to enter the live session on October 27th at 11 AM ET. In this session Michael Shannon will introduce Storage, Database, and other Services. He will also cover AWS Security Surveys and IAM, Infrastructure Security, as well as Billing and Pricing.",Cloud Development,https://google.com
Percipio_6b1ff0fe-a526-42ca-9908-f253aee8992b,Data Science for Managers Bootcamp: Live Session 1,Document,Online Content,0,en-us,10800,,Click here to register for the live session on November 16th at 11 AM ET. In this session Nicolas Fernandez Lopez discusses the importance of data.,Cloud Basics,https://google.com
Percipio_6c10faad-9199-421b-a6b3-c2415bd9a33d,How to be successful in your Digital Transformation: Practical Tips and Advice,Document,Online Content,0,en-us,5400,,"The Live Session has now ended. The recording will be available soon. In the meantime, we invite you to share your feedback by clicking Watch to launch the feedback survey. We're in the midst of a global health and economic crisis. Should we be talking about Digital Transformation at all? And if so, how can you be better at this than others? The answer is that based on past data, times like the present crisis accelerate change and disproportionately reward transformation agents. Now is the time to figure out how to be better than the rest at digital transformation. Join Tony Saldanha, ex-VP at Procter & Gamble, highly sought-after speaker, thought leader and author as he shares his secrets on how to craft a winning transformation strategy. In this session, you will learn: 1. Why digital transformation in the midst of the pandemic2. What you need to do to establish common alignment on goals with leadership3. Pitfalls of transformation execution and how to avoid them4. Organization change management and how to be good at it5. How to reskill yourself and others for success",Cloud Services,https://google.com
Percipio_6c6643ac-16b0-4671-8597-11d79e3d3ff5,PMP ATP - August/September Cohort: Live Session 4,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on August 30th at 1 PM Eastern.,Data / ML / AI,https://google.com
Percipio_6ca87d77-39b9-4dd7-bccc-c132d756fae5,PSM II (Professional Scrum Master level II) Bootcamp: Live Session 1,Document,Online Content,0,en-us,10800,,Click here to enter the live session on October 1st at 11 AM ET.,Cloud Services Bootcamps,https://google.com
Percipio_6db83b77-e76c-4848-91fb-49125e1aee09,Training and Development Director Journey,Document,Online Content,1,en-us,,,"Smart companies have learned that supporting continuous learning and self-development among employees reaps dividends in productivity and employee retention rates. Learn more about the skills and competencies required by the Training and Development Director. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of the Learning, Training & Development Director within organizations.",Business Continuity Planning,https://google.com
Percipio_6e7cc1b9-0cb2-483b-9728-58432608f9e6,Choose Your Way of Working (WoW),Document,Online Content,1,en-us,,,Choose Your WoW! A Disciplined Agile Delivery Handbook for Optimizing Your Way of Working (WoW),Cloud Practitioner,https://google.com
Percipio_6f337eb4-e4eb-4bb8-87ff-98acbf5beef1,Talent Development and Transformation: Learning (and Leading) for Today and the Future,Document,Online Content,0,en-us,5400,,"The Live Session has now ended. The recording will be available soon. In the meantime, we invite you to share your feedback by clicking Watch to launch the feedback survey. With rapid changes in technology demands and uncertainties related to the global pandemic, organizational growth hinges on employees with the right behavioral and technical competencies. Though digital transformation creates tremendous opportunities to address many challenges in our current time, it requires people to leverage the investment in these technologies, and leadership development which is agile and innovative to maintain engagement and morale. Join this session to gain insights into: • A look at what is driving the need for upskilling and reskilling.• Why planning for new leadership and business mindsets now is so important• How to build a successful development program in the digital era",Cybersecurity Career Journey,https://google.com
