Curriculum ID*,Section Name,Child LO ID,Curriculum Title*,Vendor/Provider*,Provider type*,Active,Default Language,Subject IDs*,Description,Owners*,Created/Modified By,Keywords,Available Languages,Availability to All Users,Availability to Specific Users,Availability to OU‡,Availability OU Type,Register Upon Approval,Pre-Approved,Includes Subordinates,Curriculum Player,Recurrence,Thumbnail,Exclude from Course Recommendations,Training Purpose,Points,Badge,Emails
,Test Section for Succession Plan for Matt Buttke,Percipio_2692d101-05cd-11e7-b6c3-0242c0a80802,Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,Percipio_41746210-ce3e-11e7-845b-9d7d00b83945,Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,Percipio_54bcc100-ce3e-11e7-845b-9d7d00b83945,Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,Percipio_63208524-4d1f-11e7-9a6a-bef7011cdcad,Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,Percipio_6320ac29-4d1f-11e7-9a6a-bef7011cdcad,Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,Percipio_a237c59d-808f-4aac-b58a-66ac834a348e,Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,Percipio_a6459160-9ed1-11e7-856e-ad138f9eeddf,Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,Percipio_aa07e132-bdc6-4fc6-bb0e-4a6ed0e1ace1,Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,Percipio_ac318470-ce3e-11e7-845b-9d7d00b83945,Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,Percipio_b4259a60-f3cc-11e6-ad5d-0242c0a80607,Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
