User ID*,Session ID*,Transcript Status,Score,Pass/Fail,Request Date/Time,Registration Date/Time,Completion Date/Time,Due Date/Time,User Exempt Reason,Approver Exempt Reason,User's Exemption Comments,Approver's Exemption Comments,Exempt By,Comments*,Archived
2566,Leadership_Emotional Intelligence Training-0002,,,,09/16/2019 13:12:28.000,09/16/2019 13:12:28.000,10/24/2019 14:55:00.000,,,,,,,,0
2579,Leadership_Emotional Intelligence Training-0001,,,,09/13/2019 16:41:40.000,09/13/2019 16:41:40.000,10/24/2019 14:55:00.000,,,,,,,,0
2583,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
2614,Computer_Excel Basic-0011,,,,01/14/2019 19:31:02.000,01/14/2019 19:31:02.000,2019-08-02 17:25:00,,,,,,,,0
2627,Computer Skills_Excel Basic Class,,,,04/24/2017 08:00:00.000,04/24/2017 08:00:00.000,04/28/2017 00:00:00.000,,,,,,,,0
2627,Computer Skills_Excel Intermediate Class,,,,05/15/2017 08:00:00.000,05/15/2017 08:00:00.000,05/19/2017 00:00:00.000,,,,,,,,0
2627,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 15:57:33.000,12/13/2018 15:57:33.000,2018-12-01 21:00:00,,,,,,,,0
2627,Core_ Core Operator Training (AGGU) Class,,,,2017-03-10 08:00:00,2017-03-10 08:00:00,10/13/2017 00:00:00.000,,,,,,,,0
2639,Computer_Excel Basic-0011,,,,2019-04-02 14:53:16,2019-04-02 14:53:16,2019-11-02 17:27:59,,,,,,,,0
2654,Train the Trainer_Overhead Crane Instructor Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
2674,Safety_Token Yochi Class,,,,2019-12-06 15:55:48,2019-12-06 15:55:48,2019-12-06 15:55:00,,,,,,,,0
2687,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
2694,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
2718,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 15:49:26.000,12/13/2018 15:49:26.000,2018-12-01 01:00:00,,,,,,,,0
2718,Safety_Token Yochi Class,,,,2017-12-10 08:00:00,2017-12-10 08:00:00,2017-12-10 00:00:00,,,,,,,,0
2718,Train the Trainer_Overhead Crane Instructor Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
2744,Train the Trainer_Overhead Crane Instructor Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
2781,Technical_Fanuc Level I (Ranken)-0001,,,,2021-12-07 20:59:22,2021-12-07 20:59:22,07/22/2021 15:55:00.000,,,,,,,,0
2781,Technical_Mechanical Level 2 Lab (Ranken) Class,,,,2016-10-10 08:00:00,2016-10-10 08:00:00,10/14/2016 00:00:00.000,,,,,,,,0
2790,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
2809,Computer & Software_JDE Class,,,,01/23/2017 08:00:00.000,01/23/2017 08:00:00.000,01/23/2017 00:00:00.000,,,,,,,,0
2809,Computer & Software_Microsoft Outlook Class,,,,01/23/2017 08:00:00.000,01/23/2017 08:00:00.000,01/23/2017 00:00:00.000,,,,,,,This is done by admin due to some Technical Issues or Glitches,0
2809,Computer & Software_Shop Floor Data Entry Class,,,,01/23/2017 08:00:00.000,01/23/2017 08:00:00.000,01/23/2017 00:00:00.000,,,,,,,,0
2809,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 15:57:33.000,12/13/2018 15:57:33.000,2018-12-01 21:00:00,,,,,,,,0
2809,Computer_FileHold Class,,,,01/23/2017 08:00:00.000,01/23/2017 08:00:00.000,01/23/2017 00:00:00.000,,,,,,,,0
2809,Legal_FMLA for Management (AGG specifics) Class,,,,2017-03-04 08:00:00,2017-03-04 08:00:00,2017-03-04 00:00:00,,,,,,,,0
2809,Safety_Token Yochi Class,,,,06/29/2017 08:00:00.000,06/29/2017 08:00:00.000,06/29/2017 00:00:00.000,,,,,,,,0
2841,Safety_Token Yochi Class,,,,2016-10-08 08:00:00,2016-10-08 08:00:00,2016-10-08 00:00:00,,,,,,,,0
2846,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 16:22:09.000,12/13/2018 16:22:09.000,2018-12-01 12:00:00,,,,,,,,0
2846,Leadership_Emotional Intelligence Training-0001,,,,09/13/2019 13:49:57.000,09/13/2019 13:49:57.000,10/24/2019 14:55:00.000,,,,,,,,0
2859,Computer & Software_Excel Intermediate-0002,,,,01/24/2019 16:00:31.000,01/24/2019 16:00:31.000,2019-01-02 21:59:13,,,,,,,This is done by admin due to some Technical Issues or Glitches,0
2859,Computer & Software_Excel Intermediate-0003,,,,2019-01-02 22:19:46,2019-01-02 22:19:46,02/15/2019 14:50:00.000,,,,,,,,0
2859,Computer_Excel Basic-0011,,,,01/14/2019 22:55:50.000,01/14/2019 22:55:50.000,2019-08-02 17:25:00,,,,,,,,0
2859,Technical_Fanuc Level I (Ranken)-0001,,,,2021-12-07 21:28:32,2021-12-07 21:28:32,07/22/2021 19:20:00.000,,,,,,,,0
2859,Technical_Fanuc Level I (Ranken)-0004,,,,08/20/2021 18:21:54.000,08/20/2021 18:21:54.000,2021-02-09 22:00:00,,,,,,,,0
2859,Technical_Mechanical Level 2 Lab (Ranken) Class,,,,2016-10-10 08:00:00,2016-10-10 08:00:00,10/14/2016 00:00:00.000,,,,,,,,0
2881,Computer & Software_JDE Class,,,,09/19/2017 08:00:00.000,09/19/2017 08:00:00.000,09/19/2017 00:00:00.000,,,,,,,,0
2881,Computer & Software_Microsoft Outlook Class,,,,09/15/2017 08:00:00.000,09/15/2017 08:00:00.000,09/15/2017 00:00:00.000,,,,,,,This is done by admin due to some Technical Issues or Glitches,0
2881,Computer_GDP (eTime dept tracking) Class,,,,09/15/2017 08:00:00.000,09/15/2017 08:00:00.000,09/15/2017 00:00:00.000,,,,,,,,0
2881,Computer_FileHold Class,,,,09/25/2017 08:00:00.000,09/25/2017 08:00:00.000,09/25/2017 00:00:00.000,,,,,,,,0
2881,Safety_Token Yochi Class,,,,2017-09-08 08:00:00,2017-09-08 08:00:00,2017-09-08 00:00:00,,,,,,,,0
2883,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
2887,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
2999,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 16:37:12.000,12/13/2018 16:37:12.000,01/15/2018 14:30:00.000,,,,,,,,0
2999,Technical_Fanuc Level I (Ranken) Class,,,,02/13/2017 08:00:00.000,02/13/2017 08:00:00.000,02/16/2017 00:00:00.000,,,,,,,This is done by admin due to some Technical Issues or Glitches,0
2999,Technical_Fanuc Level II (Ranken) Class,,,,03/20/2017 08:00:00.000,03/20/2017 08:00:00.000,03/23/2017 00:00:00.000,,,,,,,,0
2999,Technical_Fanuc Level III (Ranken) Class,,,,2017-01-05 08:00:00,2017-01-05 08:00:00,2017-05-05 00:00:00,,,,,,,,0
3064,Core_ Core Operator Training (AGGU) Class,,,,08/18/2015 08:00:00.000,08/18/2015 08:00:00.000,08/18/2015 00:00:00.000,,,,,,,,0
3121,Computer Skills_Excel Basic Class,,,,03/27/2017 08:00:00.000,03/27/2017 08:00:00.000,2017-03-04 00:00:00,,,,,,,,0
3121,Computer Skills_Excel Intermediate Class,,,,2017-10-07 08:00:00,2017-10-07 08:00:00,07/14/2017 00:00:00.000,,,,,,,,0
3121,Safety_Token Yochi Class,,,,05/24/2019 15:05:10.000,05/24/2019 15:05:10.000,2018-07-12 16:05:00,,,,,,,,0
3137,Computer Skills_Excel Basic Class,,,,03/27/2017 08:00:00.000,03/27/2017 08:00:00.000,2017-03-04 00:00:00,,,,,,,,0
3137,Core_ Core Operator Training (AGGU) Class,,,,10/15/2015 08:00:00.000,10/15/2015 08:00:00.000,10/15/2015 00:00:00.000,,,,,,,,0
3183,Computer_FileHold Class,,,,2017-03-05 08:00:00,2017-03-05 08:00:00,2017-03-05 00:00:00,,,,,,,,0
3288,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 16:22:09.000,12/13/2018 16:22:09.000,2018-12-01 13:00:00,,,,,,,,0
3307,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 15:20:56.000,12/13/2018 15:20:56.000,2018-11-01 21:00:00,,,,,,,,0
3307,Safety_Token Yochi Class,,,,2017-10-08 08:00:00,2017-10-08 08:00:00,2017-10-08 00:00:00,,,,,,,,0
3342,Core_ Core Operator Training (AGGU) Class,,,,2015-02-09 08:00:00,2015-02-09 08:00:00,2015-02-09 00:00:00,,,,,,,,0
3366,Train the Trainer_Overhead Crane Instructor Class,,,,03/15/2016 08:00:00.000,03/15/2016 08:00:00.000,03/15/2016 00:00:00.000,,,,,,,,0
3407,Train the Trainer_Overhead Crane Instructor Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
3468,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
3477,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 15:11:16.000,12/13/2018 15:11:16.000,2018-11-01 14:30:00,,,,,,,,0
3477,Computer_FileHold Class,,,,2017-03-05 08:00:00,2017-03-05 08:00:00,2017-03-05 00:00:00,,,,,,,,0
3477,Safety_Token Yochi Class,,,,2017-11-10 08:00:00,2017-11-10 08:00:00,2017-11-10 00:00:00,,,,,,,,0
3487,Computer & Software_JDE Class,,,,12/16/2015 08:00:00.000,12/16/2015 08:00:00.000,12/16/2015 00:00:00.000,,,,,,,,0
3487,Core_ Core Operator Training (AGGU) Class,,,,09/16/2015 08:00:00.000,09/16/2015 08:00:00.000,09/16/2015 00:00:00.000,,,,,,,,0
3487,Safety_Token Yochi Class,,,,2017-10-08 08:00:00,2017-10-08 08:00:00,2017-10-08 00:00:00,,,,,,,,0
3498,Core_ Core Operator Training (AGGU) Class,,,,09/23/2015 08:00:00.000,09/23/2015 08:00:00.000,09/23/2015 00:00:00.000,,,,,,,,0
3499,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
3530,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
3575,Computer Skills_Excel Basic Class,,,,06/26/2017 08:00:00.000,06/26/2017 08:00:00.000,06/30/2017 00:00:00.000,,,,,,,,0
3575,Computer Skills_Excel Intermediate Class,,,,2017-10-07 08:00:00,2017-10-07 08:00:00,07/14/2017 00:00:00.000,,,,,,,,0
3575,Safety_Token Yochi Class,,,,2017-11-08 08:00:00,2017-11-08 08:00:00,2017-11-08 00:00:00,,,,,,,,0
3600,Computer Skills_Excel Basic Class,,,,06/26/2017 08:00:00.000,06/26/2017 08:00:00.000,06/30/2017 00:00:00.000,,,,,,,,0
3600,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 15:23:27.000,12/13/2018 15:23:27.000,2018-11-01 21:00:00,,,,,,,,0
3600,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
3600,Safety_Token Yochi Class,,,,2017-10-08 08:00:00,2017-10-08 08:00:00,2017-10-08 00:00:00,,,,,,,,0
3601,Leadership_Emotional Intelligence Training-0002,,,,2019-07-10 20:06:02,2019-07-10 20:06:02,10/24/2019 14:55:00.000,,,,,,,,0
3625,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 15:11:16.000,12/13/2018 15:11:16.000,2018-11-01 14:30:00,,,,,,,,0
3625,Computer_FileHold Class,,,,2017-03-05 08:00:00,2017-03-05 08:00:00,2017-03-05 00:00:00,,,,,,,,0
3625,Core_ Core Operator Training (AGGU) Class,,,,2015-10-08 08:00:00,2015-10-08 08:00:00,2015-10-08 00:00:00,,,,,,,,0
