OU ID*,OU Name*,Active,Allow Reconciliation,Parent ID,Owner ID,Description,Req- Person ID Number,Critical Position,Plan Owner OU ID
ASK110091,Maintenance Team Member I,1,0,,DefaultAdmin,This Job is for Maintenance Team Member I Users only,,,
ASK110094,Maintenance Team Member IV,1,0,,DefaultAdmin,This Job is for Maintenance Team Member IV Users only,,,
ASK110095,Maintenance Team Member V,1,0,,DefaultAdmin,This Job is for Maintenance Team Member V Users only,,,
ASK110096,Quality Engineer I,1,0,,DefaultAdmin,This Job is for Quality Engineer I Users only,,,
ASK110097,Quality Engineer II,1,0,,DefaultAdmin,This Job is for Quality Engineer II Users only,,,
ASK110101,"Kaizen Shop Technician, MTM",1,0,,DefaultAdmin,"This Job is for Kaizen Shop Technician, MTM Users only",,,
ASK110102,"Kaizen Shop Technician II, MTM",1,0,,DefaultAdmin,"This Job is for Kaizen Shop Technician II, MTM Users only",,,
ASK110103,Translator,1,0,,DefaultAdmin,This Job is for Translator Users only,,,
ASK110104,Pre Production Planner,1,0,,DefaultAdmin,This Job is for Pre Production Planner Users only,,,
ASK110105,Project Engineer I,1,0,,DefaultAdmin,This Job is for Project Engineer I Users only,,,
ASK110106,Direct Group Relief Team Membe,1,0,,DefaultAdmin,This Job is for Direct Group Relief Team Membe Users only,,,
ASK110107,Learning & Development Special,1,0,,DefaultAdmin,This Job is for Learning & Development Special Users only,,,
ASK110108,Learning & Development Spec PT,1,0,,DefaultAdmin,This Job is for Learning & Development Spec PT Users only,,,
ASK110110,"Supervisor, Tech",1,0,,DefaultAdmin,"This Job is for Supervisor, Tech Users only",,,
ASK110112,"Manager, Assistant, Tech",1,0,,DefaultAdmin,"This Job is for Manager, Assistant, Tech Users only",,,
ASK110113,"Manager, Tech",1,0,,DefaultAdmin,"This Job is for Manager, Tech Users only",,,
ASK110114,"Manager, Senior, Tech",1,0,,DefaultAdmin,"This Job is for Manager, Senior, Tech Users only",,,
ASK110120,"Supervisor, Admin",1,0,,DefaultAdmin,"This Job is for Supervisor, Admin Users only",,,
ASK110122,"Manager, Assistant, Admin",1,0,,DefaultAdmin,"This Job is for Manager, Assistant, Admin Users only",,,
ASK110125,Administrator,1,0,,DefaultAdmin,This Job is for Administrator Users only,,,
ASK110126,OJT Team Member,1,0,,DefaultAdmin,This Job is for OJT Team Member Users only,,,
